Ay N
0.77553 1839.61
0.78259 1856.36
0.78811 1869.43
0.79233 1879.44
0.79547 1886.90
0.79771 1892.22
0.79920 1895.76
0.80006 1897.79
0.80039 1898.57
0.80028 1898.30
0.79979 1897.16
0.79900 1895.27
0.79794 1892.77
0.79668 1889.76
0.79523 1886.33
0.79363 1882.54
0.79192 1878.47
0.79010 1874.17
0.78821 1869.67
0.78625 1865.03
0.78424 1860.27
0.78220 1855.43
0.78013 1850.52
0.77804 1845.57
0.77595 1840.59
0.77384 1835.60
0.77174 1830.62
0.76965 1825.65
0.76757 1820.71
0.76549 1815.80
0.76344 1810.92
0.76140 1806.09
0.75939 1801.31

-1.39492 -187.50
-1.39643 -191.63
-1.39797 -195.83
-1.39953 -200.09
-1.40111 -204.41
-1.40271 -208.78
-1.40433 -213.21
-1.40597 -217.70
-1.40763 -222.24
-1.40931 -226.82
-1.41100 -231.45
-1.41271 -236.13
-1.41443 -240.84
-1.41617 -245.58
-1.41791 -250.35
-1.41966 -255.14
-1.42141 -259.93
-1.42316 -264.72
-1.42491 -269.50
-1.42664 -274.25
-1.42836 -278.95
-1.43005 -283.59
-1.43171 -288.14
-1.43333 -292.57
-1.43489 -296.86
-1.43639 -300.97
-1.43780 -304.85
-1.43912 -308.46
-1.44032 -311.74
-1.44137 -314.62
-1.44225 -317.03
-1.44292 -318.88
-1.44335 -320.05
-1.44348 -320.42
-1.44327 -319.85
-1.44265 -318.15
-1.44155 -315.12
-1.43987 -310.50
-1.43750 -304.01
-1.43432 -295.30
-1.43018 -283.94
-1.42488 -269.43
-1.41821 -251.18
-1.40991 -228.45
-1.39964 -200.40
-1.38704 -166.00
-1.37164 -124.01
-1.35290 -72.99
-1.33018 -11.25
-1.30274 63.14
-1.26972 152.37
-1.23023 258.76
-1.18330 384.64
-1.12806 532.10
-1.06385 702.52
-0.99044 896.03
-0.90831 1110.91
-0.81883 1343.06
-0.72433 1585.98
-0.62793 1831.41
-0.53309 2070.54
-0.44302 2295.51
-0.36021 2500.50
-0.28620 2682.22
-0.22157 2839.74
-0.16617 2973.90
-0.11938 3086.64
-0.08027 3180.40
-0.04787 3257.79
-0.02121 3321.28
0.00061 3373.07
0.01835 3415.11
0.03269 3449.05
0.04421 3476.25
0.05338 3497.88
0.06059 3514.88
0.06617 3528.04
0.07040 3538.00
0.07351 3545.30
0.07567 3550.39
0.07705 3553.64
0.07777 3555.34
0.07795 3555.76
0.07768 3555.11
0.07702 3553.56
0.07604 3551.27
0.07481 3548.36
0.07335 3544.94
0.07172 3541.09
0.06994 3536.90
0.06804 3532.43
0.06604 3527.73
0.06397 3522.85
0.06184 3517.82
0.05966 3512.69
0.05745 3507.48
0.05522 3502.22

-1.49896 141.36
-1.50024 137.86
-1.50154 134.30
-1.50285 130.68
-1.50419 127.01
-1.50555 123.28
-1.50693 119.49
-1.50833 115.64
-1.50976 111.74
-1.51120 107.78
-1.51266 103.76
-1.51415 99.68
-1.51566 95.54
-1.51718 91.35
-1.51873 87.10
-1.52030 82.79
-1.52188 78.43
-1.52349 74.02
-1.52511 69.56
-1.52675 65.05
-1.52840 60.50
-1.53007 55.92
-1.53175 51.29
-1.53344 46.64
-1.53514 41.97
-1.53685 37.28
-1.53855 32.59
-1.54025 27.91
-1.54195 23.25
-1.54363 18.62
-1.54529 14.03
-1.54693 9.53
-1.54853 5.11
-1.55009 0.81
-1.55160 -3.33
-1.55303 -7.29
-1.55438 -11.01
-1.55563 -14.46
-1.55676 -17.57
-1.55775 -20.28
-1.55856 -22.51
-1.55916 -24.17
-1.55951 -25.15
-1.55957 -25.32
-1.55929 -24.54
-1.55860 -22.63
-1.55742 -19.39
-1.55567 -14.57
-1.55324 -7.87
-1.55001 1.05
-1.54581 12.61
-1.54048 27.29
-1.53379 45.70
-1.52548 68.54
-1.51525 96.66
-1.50271 131.06
-1.48743 172.96
-1.46888 223.75
-1.44642 285.10
-1.41935 358.91
-1.38685 447.28
-1.34802 552.50
-1.30195 676.86
-1.24779 822.42
-1.18486 990.60
-1.11294 1181.64
-1.03243 1393.99
-0.94460 1623.80
-0.85169 1864.85
-0.75670 2109.07
-0.66302 2347.75
-0.57383 2572.98
-0.49163 2778.79
-0.41802 2961.69
-0.35363 3120.58
-0.29837 3256.12
-0.25163 3370.17
-0.21255 3465.12
-0.18016 3543.54
-0.15349 3607.90
-0.13167 3660.42
-0.11392 3703.07
-0.09957 3737.49
-0.08805 3765.09
-0.07888 3787.03
-0.07166 3804.27
-0.06608 3817.62
-0.06185 3827.72
-0.05875 3835.12
-0.05658 3840.28
-0.05520 3843.57
-0.05448 3845.30
-0.05430 3845.72
-0.05458 3845.06
-0.05524 3843.49
-0.05621 3841.16
-0.05745 3838.21

-1.49092 182.63
-1.49202 179.65
-1.49314 176.63
-1.49427 173.56
-1.49542 170.45
-1.49659 167.28
-1.49778 164.06
-1.49898 160.79
-1.50021 157.47
-1.50145 154.09
-1.50272 150.66
-1.50400 147.18
-1.50531 143.64
-1.50663 140.05
-1.50798 136.40
-1.50935 132.69
-1.51073 128.92
-1.51214 125.10
-1.51357 121.22
-1.51503 117.28
-1.51650 113.29
-1.51799 109.23
-1.51951 105.12
-1.52104 100.95
-1.52260 96.73
-1.52417 92.45
-1.52577 88.12
-1.52738 83.73
-1.52901 79.30
-1.53066 74.82
-1.53233 70.30
-1.53400 65.74
-1.53569 61.15
-1.53739 56.53
-1.53910 51.89
-1.54081 47.23
-1.54253 42.57
-1.54424 37.92
-1.54594 33.28
-1.54763 28.68
-1.54930 24.13
-1.55095 19.66
-1.55256 15.27
-1.55413 11.00
-1.55564 6.89
-1.55708 2.96
-1.55844 -0.74
-1.55970 -4.16
-1.56083 -7.25
-1.56182 -9.94
-1.56263 -12.15
-1.56323 -13.79
-1.56358 -14.75
-1.56364 -14.92
-1.56336 -14.14
-1.56266 -12.23
-1.56147 -9.00
-1.55971 -4.20
-1.55726 2.47
-1.55400 11.35
-1.54978 22.84
-1.54441 37.45
-1.53768 55.76
-1.52932 78.47
-1.51903 106.43
-1.50642 140.63
-1.49105 182.29
-1.47239 232.79
-1.44981 293.79
-1.42259 367.17
-1.38991 455.04
-1.35089 559.68
-1.30459 683.38
-1.25015 828.19
-1.18693 995.54
-1.11467 1185.70
-1.03380 1397.14
-0.94561 1626.06
-0.85233 1866.25
-0.75700 2109.71
-0.66301 2347.73
-0.57356 2572.41
-0.49116 2777.78
-0.41738 2960.35
-0.35287 3118.98
-0.29753 3254.34
-0.25073 3368.24
-0.21160 3463.09
-0.17918 3541.44
-0.15249 3605.75
-0.13065 3658.24
-0.11289 3700.85
-0.09854 3735.26
-0.08701 3762.84
-0.07784 3784.77
-0.07062 3802.01
-0.06503 3815.34

-1.46423 169.08
-1.46518 166.54
-1.46614 163.97
-1.46712 161.35
-1.46811 158.69
-1.46912 155.99
-1.47014 153.25
-1.47118 150.47
-1.47223 147.64
-1.47330 144.76
-1.47439 141.84
-1.47549 138.88
-1.47662 135.86
-1.47776 132.80
-1.47892 129.69
-1.48009 126.53
-1.48129 123.32
-1.48250 120.06
-1.48374 116.75
-1.48499 113.38
-1.48627 109.96
-1.48756 106.48
-1.48887 102.95
-1.49021 99.37
-1.49156 95.72
-1.49294 92.02
-1.49434 88.27
-1.49576 84.45
-1.49720 80.58
-1.49866 76.65
-1.50015 72.66
-1.50165 68.62
-1.50318 64.51
-1.50472 60.35
-1.50629 56.14
-1.50788 51.87
-1.50948 47.54
-1.51111 43.17
-1.51275 38.74
-1.51442 34.27
-1.51609 29.76
-1.51778 25.20
-1.51949 20.62
-1.52120 16.00
-1.52292 11.37
-1.52465 6.72
-1.52638 2.06
-1.52810 -2.59
-1.52982 -7.22
-1.53153 -11.82
-1.53321 -16.36
-1.53487 -20.84
-1.53650 -25.23
-1.53808 -29.50
-1.53961 -33.61
-1.54107 -37.55
-1.54244 -41.25
-1.54371 -44.68
-1.54486 -47.78
-1.54586 -50.48
-1.54669 -52.71
-1.54730 -54.37
-1.54767 -55.36
-1.54774 -55.55
-1.54746 -54.80
-1.54677 -52.93
-1.54559 -49.74
-1.54383 -44.99
-1.54138 -38.38
-1.53811 -29.57
-1.53388 -18.15
-1.52849 -3.63
-1.52173 14.57
-1.51334 37.17
-1.50299 65.00
-1.49032 99.07
-1.47487 140.56
-1.45610 190.89
-1.43339 251.69
-1.40600 324.87
-1.37311 412.52
-1.33383 516.93
-1.28722 640.40
-1.23241 784.98
-1.16876 952.12
-1.09602 1142.07
-1.01462 1353.29
-0.92588 1581.98
-0.83208 1821.91
-0.73627 2065.06
-0.64187 2302.73
-0.55209 2527.03
-0.46944 2732.00
-0.39549 2914.18
-0.33086 3072.44
-0.27544 3207.46
-0.22859 3321.08

